"Item","Origin","SpritePrompt"
"mjolnir","Norse/Marvel","Mjolnir hammer sprite, pixel art minecraft texture, short handle wrapped in brown leather, massive grey head with Norse runes glowing faint blue #ADD8E6, thunder crackle effects, item icon view, transparent background, godly hammer aesthetic"
"stormbreaker","Marvel","Stormbreaker axe sprite, pixel art minecraft texture, massive asymmetrical axe head with glowing blue veins, wooden handle fused with metal, cosmic energy sparks, item icon view, transparent background, legendary battleaxe look"
"gravity_gun","Half-Life","Gravity gun sprite, pixel art minecraft texture, industrial metallic body with glowing blue core, articulated claw, levitating debris effect, item icon view, transparent background, physics-manipulation sci-fi tool"
"iron_man_repulsor_glove","Marvel","Repulsor glove sprite, pixel art minecraft texture, armored gauntlet with circular glowing palm emitter #FFFFFF with soft blue glow #89CFF0, metallic red and gold plating #B22222 and #FFD700, energy charge particles, item icon view, transparent background"
"death_note","Anime","Death Note book sprite, pixel art minecraft texture, black leather cover with stylized white font, cracked spine, faint shadowy mist around edges, item icon view, transparent background, eerie supernatural notebook"
"pokeball","Pokémon","Pokeball sprite, pixel art minecraft texture, iconic red top #FF0000 white bottom, black horizontal band with central button, glossy shine highlights, item icon view, transparent background, capturing device aesthetic"
"dragon_ball","Dragon Ball Z","Dragon Ball sprite, pixel art minecraft texture, orange glassy orb #FFA500 with four red stars #FF0000 inside, subtle glowing aura, item icon view, transparent background, mystical wish-granting artifact"
"gunblade","Final Fantasy","Gunblade sprite, pixel art minecraft texture, hybrid sword with silver blade and integrated pistol grip, ornate crossguard, small glowing energy chamber, item icon view, transparent background, fantasy-meets-firearm weapon"
"keyblade","Kingdom Hearts","Keyblade sprite, pixel art minecraft texture, key-shaped sword with silver and blue motifs, star charm dangling, glowing light particles, item icon view, transparent background, whimsical heroic weapon"
"hidden_blade","Assassin's Creed","Hidden blade sprite, pixel art minecraft texture, retractable steel blade emerging from wrist bracer, leather straps, subtle blood-red accents, item icon view, transparent background, stealth assassin tool"
"proton_pack","Ghostbusters","Proton pack sprite, pixel art minecraft texture, bulky black device with glowing tubes, proton wand connected by coiled cable, particle stream, item icon view, transparent background, ghost-catching equipment"
"sonic_screwdriver","Doctor Who","Sonic screwdriver sprite, pixel art minecraft texture, slim metallic device with glowing green tip #7CFC00, intricate grip, rotating end animation effect, item icon view, transparent background, versatile sci-fi tool"
"tesseract","Marvel","Tesseract cube sprite, pixel art minecraft texture, luminous blue cube #00BFFF with inner swirling energy, cosmic reflections, item icon view, transparent background, power source artifact"
"leviathan_axe","God of War","Leviathan Axe sprite, pixel art minecraft texture, double-bladed axe with icy blue runes #ADD8E6 on steel head, leather-wrapped handle, frozen mist, item icon view, transparent background, mythic Norse weapon"
"portal_turret","Portal","Companion turret sprite, pixel art minecraft texture, white rounded body with glowing blue eye, small red targeting laser, tripod base, item icon view, transparent background, sentry robot aesthetic"
"chainsaw","Doom","Chainsaw sprite, pixel art minecraft texture, blood-stained metallic body, spinning chain with motion blur, rugged grip, item icon view, transparent background, brutal close-combat tool"
"red_matter_device","Star Trek","Red Matter device sprite, pixel art minecraft texture, compact black sphere with pulsing red core #8B0000, swirling energy tendrils, item icon view, transparent background, high-energy sci-fi hazard"
"death_star_plans","Star Wars","Death Star plans scroll sprite, pixel art minecraft texture, aged parchment with schematic lines of spherical station in blue-grey, Imperial seal watermark, item icon view, transparent background, secret strategic document"
"pokedex","Pokémon","Pokedex sprite, pixel art minecraft texture, handheld red device with digital screen showing pixel monster silhouette, small buttons, glowing interface, item icon view, transparent background, futuristic creature encyclopedia"
"nimbus_cloud","Dragon Ball","Nimbus cloud sprite, pixel art minecraft texture, fluffy golden-yellow cloud #FFFACD with shimmering puff edges, tiny sparkles, item icon view, transparent background, magical transport item"
"dragon_slayer_sword","Berserk","Dragon Slayer sword sprite, pixel art minecraft texture, oversized worn blade with chipped edges, dark iron texture, faint bloodstains, heavy weight impression, item icon view, transparent background, grim dark fantasy weapon"
"energy_shield","Destiny","Energy shield sprite, pixel art minecraft texture, translucent hexagonal barrier with teal glow #40E0D0, geometric patterns, subtle distortion waves, item icon view, transparent background, protective sci-fi tech"
"lancer_rifle","Gears of War","Lancer rifle sprite, pixel art minecraft texture, bulky assault rifle with chainsaw bayonet, dark grey body, red glowing accents, toothed blade, item icon view, transparent background, gritty military sci-fi weapon"
"pulse_rifle","Aliens","Pulse rifle sprite, pixel art minecraft texture, rugged black frame, integrated ammo display, green LED indicators, item icon view, transparent background, colonial marine firearm"
"tardis_key","Doctor Who","TARDIS key sprite, pixel art minecraft texture, antique silver key with tiny blue TARDIS charm, swirling temporal energy aura, item icon view, transparent background, time travel artifact"
"time_turner","Harry Potter","Time Turner sprite, pixel art minecraft texture, golden hourglass pendant #FFD700 with spinning sands, star dust particles, item icon view, transparent background, time-manipulation device"
"cursed_pirate_sword","Pirates of the Caribbean","Cursed pirate cutlass sprite, pixel art minecraft texture, tarnished silver blade with green ghostly glow, skeletal hilt, barnacle textures, item icon view, transparent background, haunted seafarer weapon"
"neuralyzer","Men in Black","Neuralyzer sprite, pixel art minecraft texture, slim silver device with glowing blue flash window, small button, retro-futuristic design, item icon view, transparent background, memory-wiping gadget"
"omnitrix","Ben 10","Omnitrix sprite, pixel art minecraft texture, green and black watch-like device with circular dial showing alien silhouettes, glowing center #00FF00, item icon view, transparent background, transformation gadget"
"magic_crystal_staff","Fantasy","Magic staff sprite, pixel art minecraft texture, twisted dark wood shaft topped with large floating crystal orb glowing violet #8A2BE2, runes etched along shaft, sparkles, item icon view, transparent background"
"samurai_katana","Historical/Anime","Samurai katana sprite, pixel art minecraft texture, curved polished blade with subtle hamon pattern, red wrapped handle, ornate guard, item icon view, transparent background, disciplined warrior sword"
"revolver","Wild West","Revolver sprite, pixel art minecraft texture, brass cylinder, wooden grip, silver barrel with engraved filigree, slight smoke puff, item icon view, transparent background, rugged frontier sidearm"
"steampunk_grappling_hook","Steampunk","Grappling hook sprite, pixel art minecraft texture, bronze gears, coiled cable, clawed hook with pressure gauge and steam valves, item icon view, transparent background, Victorian mechanical gadget"
"dragon_orb","Yu Yu Hakusho","Dragon Orb sprite, pixel art minecraft texture, crystalline sphere with swirling inner dragon silhouette, emerald green glow #50C878, item icon view, transparent background, spiritual power relic"
"witcher_silver_sword","The Witcher","Witcher silver sword sprite, pixel art minecraft texture, slender silver blade with wolf medallion etch, detailed crossguard, faint shimmering crest, item icon view, transparent background, monster-hunting weapon"
"witcher_steel_sword","The Witcher","Witcher steel sword sprite, pixel art minecraft texture, rugged steel blade with battle wear, simple hilt, subtle yellow edge glow, item icon view, transparent background, general-purpose combat sword"
"omni_tool","Mass Effect","Omni-tool sprite, pixel art minecraft texture, compact holographic wrist device with glowing blue interface panels, circuit patterns, item icon view, transparent background, multifunction engineering gadget"
"n7_dagger","Mass Effect","N7 dagger sprite, pixel art minecraft texture, sleek black blade with red N7 stripe, ergonomic grip, subtle energy aura, item icon view, transparent background, elite operative close-combat weapon"
"glaive","Ancient Myth","Glaive sprite, pixel art minecraft texture, long pole with broad curved blade, ornamental engravings, worn wood shaft, item icon view, transparent background, ceremonial polearm"
"cloaking_device","Sci-Fi","Cloaking device emitter sprite, pixel art minecraft texture, small metallic cube emitting shimmer distortion waves, translucent ripple overlay, item icon view, transparent background, stealth technology"
"jetpack","Sci-Fi","Jetpack sprite, pixel art minecraft texture, dual thrusters with orange flame trails, metal harness with glowing status lights, aerodynamic fins, item icon view, transparent background, personal flight gear"
"spellbook_of_fire","Fantasy","Spellbook sprite, pixel art minecraft texture, charred red cover with flaming glyphs, ember particles drifting, burnt page edges, item icon view, transparent background, pyromancer grimoire"
"cryo_grenade","Sci-Fi","Cryo grenade sprite, pixel art minecraft texture, icy blue canister with frost formation, snowflake emblem, cold vapor wisps, item icon view, transparent background, freezing throwable device"
"nano_swarm_dispenser","Sci-Fi","Nano swarm dispenser sprite, pixel art minecraft texture, sleek cylinder with green digital readouts, release port with tiny metallic insects, swirling holographic containment, item icon view, transparent background, futuristic nanotech weapon"
"holy_cross_relic","Religious Fantasy","Holy cross relic sprite, pixel art minecraft texture, ornate golden cross with sapphire inlays #0F52BA, soft white glow, delicate filigree, item icon view, transparent background, sacred protective artifact"
"vampire_fang_dagger","Gothic","Vampire fang dagger sprite, pixel art minecraft texture, curved blood-red blade with dripping effect, black silver hilt, bat motifs, item icon view, transparent background, dark immortal hunter weapon"
"predator_stealth_visor","Predator","Predator visor sprite, pixel art minecraft texture, segmented metallic headgear with glowing red targeting reticle, camouflage shimmer overlay, item icon view, transparent background, alien hunter tech"
"hylian_shield","The Legend of Zelda","Hylian Shield sprite, pixel art minecraft texture, blue face with red Hylian crest and Triforce emblem #FFD700, silver border, weathered details, item icon view, transparent background, hero's defensive gear"
"arc_reactor_core","Marvel","Arc reactor core sprite, pixel art minecraft texture, glowing circular reactor with layered rings of light cyan #00FFFF and white, metallic housing, pulsing energy beams, item icon view, transparent background"
"cybernetic_arm_gauntlet","Cyberpunk","Cybernetic arm gauntlet sprite, pixel art minecraft texture, mechanical fingers with glowing neon circuits, dark titanium plating, holographic interface on wrist, item icon view, transparent background"
"energy_bow","Horizon Zero Dawn","Energy bow sprite, pixel art minecraft texture, sleek composite frame with glowing orange string, crystalline arrow nocks, tribal mechanical designs, item icon view, transparent background, futuristic hunting weapon"
"boomerang","Traditional","Boomerang sprite, pixel art minecraft texture, polished wood with tribal carvings, aerodynamic shape, motion blur trail, item icon view, transparent background, returning projectile"
"smoke_bomb","Ninja","Smoke bomb sprite, pixel art minecraft texture, small black sphere with red fuse, puff of grey smoke effect, item icon view, transparent background, stealth escape gadget"
"thunderfury_blessed_blade_of_the_windseeker","World of Warcraft","Thunderfury sword sprite, pixel art minecraft texture, jagged lightning-infused blade with crackling electric arcs, greenish-blue glow #7FFFD4, ornate hilt with storm motifs, item icon view, transparent background"
"frostmourne","World of Warcraft","Frostmourne sword sprite, pixel art minecraft texture, dark icy blade with blue runes, skull-adorned hilt, frozen mist swirling, item icon view, transparent background, cursed death knight weapon"
"dragons_breath_potion","Fantasy","Dragon's breath potion sprite, pixel art minecraft texture, glass vial with swirling red-orange smoke, flame sparks escaping, wax seal, item icon view, transparent background, fiery alchemical concoction"
"soul_absorbing_katana","Anime Fantasy","Soul-absorbing katana sprite, pixel art minecraft texture, black blade with purple soul veins, ghostly faces inside, tattered hilt wrap, item icon view, transparent background, dark soul-stealing sword"
"magnetic_web_gloves","Spider-Man","Magnetic glove sprite, pixel art minecraft texture, sleek glove with glowing web lines and metallic particle attraction, blue and red highlights, item icon view, transparent background, superhero gadget"
"phaser","Star Trek","Phaser sprite, pixel art minecraft texture, compact handheld with smooth curves, glowing muzzle indicator, beam charge pulse, item icon view, transparent background, futuristic energy weapon"
"darksaber","Star Wars","Darksaber sprite, pixel art minecraft texture, flat black energy blade with white glowing edge, angular hilt, Mandalorian design, item icon view, transparent background, legendary saber"
"pym_particle_shrink_device","Marvel","Pym particle device sprite, pixel art minecraft texture, small capsule with swirling blue and purple interior, size distortion ripple effect, item icon view, transparent background, quantum size-altering gadget"
"infinity_stone_shard","Marvel","Infinity Stone shard sprite, pixel art minecraft texture, fractured glowing gem fragment with internal light, one of six colors depending on stone, floating sparkles, item icon view, transparent background, cosmic fragment"
"companion_cube","Portal","Companion Cube sprite, pixel art minecraft texture, soft grey cube with heart decals #FF69B4, subtle glowing edges, item icon view, transparent background, affectionate puzzle object"
"hookshot","The Legend of Zelda","Hookshot sprite, pixel art minecraft texture, metallic grappling hook with chain, glowing tip, wooden attachment, item icon view, transparent background, versatile traversal tool"
"elder_scroll","Skyrim","Elder Scroll sprite, pixel art minecraft texture, ancient parchment scroll with glowing teal runes #008080, ornate golden ends, swirling mist, item icon view, transparent background, prophetic artifact"
"dwarven_mechanical_drill","Steampunk/Fantasy","Mechanical drill sprite, pixel art minecraft texture, bronze rotating drill bit with steam vents, gear assembly, worn metal, item icon view, transparent background, industrious subterranean tool"
"plasma_cutter","Dead Space","Plasma cutter sprite, pixel art minecraft texture, industrial tool with segmented glowing blue beam emitter, rusted housing, pressure gauge, item icon view, transparent background, survival horror engineering device"
"energy_whip","Sci-Fi","Energy whip sprite, pixel art minecraft texture, coiled luminous whip with crackling light segments, control-hilt with knobs, glowing trail, item icon view, transparent background, futuristic melee weapon"
"ghost_sword","Fantasy","Ghost sword sprite, pixel art minecraft texture, translucent ethereal blade with silver-blue shimmer, spectral particles, floating slightly above hilt, item icon view, transparent background, otherworldly weapon"
"mana_crystal","Fantasy","Mana crystal sprite, pixel art minecraft texture, faceted floating gem with pulsing blue-purple core, runic glows, sparkles, item icon view, transparent background, magical energy source"
"transmutation_circle_tablet","Fullmetal Alchemist","Transmutation tablet sprite, pixel art minecraft texture, stone slab with glowing gold alchemical circle, arcane symbols rotating, crackling energy, item icon view, transparent background, alchemy interface"
"rune_glove","Fantasy","Rune glove sprite, pixel art minecraft texture, leather glove embedded with glowing multi-colored runes, floating sigils, item icon view, transparent background, spellcasting accessory"
"quantum_destabilizer","Sci-Fi","Quantum destabilizer sprite, pixel art minecraft texture, handheld device with unstable purple core, flickering particle field, digital warning readouts, item icon view, transparent background, experimental physics gadget"
"solar_flare_staff","Sci-Fi/Fantasy","Solar flare staff sprite, pixel art minecraft texture, golden shaft topped with radiant sun orb emitting bright rays and mini solar flares, item icon view, transparent background, celestial magic weapon"
"atlantean_bone_trident","Myth","Atlantean bone trident sprite, pixel art minecraft texture, polished whale bone prongs with aqua algae, golden sea-green accents #2E8B57, mystical water runes, item icon view, transparent background"
"cyberdeck","Cyberpunk","Cyberdeck sprite, pixel art minecraft texture, slim hacking console with neon interface, floating data streams, matrix-like code glyphs, item icon view, transparent background, digital intrusion tool"
"fairy_lantern","Fairy Tale","Fairy lantern sprite, pixel art minecraft texture, delicate glass orb with soft yellow light, tiny winged fairies swirling inside, ivy-wrapped handle, item icon view, transparent background, whimsical light source"
"ancient_rune_tablet","Fantasy","Ancient rune tablet sprite, pixel art minecraft texture, cracked stone slab with glowing blue runes, mossy edges, faint pulse from center, item icon view, transparent background, lost civilization relic"
"mechanical_owl_companion","Steampunk/Fantasy","Mechanical owl sprite, pixel art minecraft texture, brass feathers, gear eyes glowing amber #FFBF00, retractable wings, perched on mini stand, item icon view, transparent background, clockwork companion"
"wind_fan","Anime","Wind fan sprite, pixel art minecraft texture, ornate folding fan with swirling wind patterns, light blue energy gust trails, cherry blossom motifs, item icon view, transparent background, elemental control tool"
"gravity_boots","Sci-Fi","Gravity boots sprite, pixel art minecraft texture, metallic boots with glowing anti-grav pads, subtle floating aura, blue field under soles, item icon view, transparent background, altered weight gear"
"mirror_of_illusions","Fantasy","Mirror sprite, pixel art minecraft texture, ornate silver frame with shifting reflections, smoky glass surface showing faint alternate images, item icon view, transparent background, deceptive magic artifact"
"charm_music_box","Magical","Music box sprite, pixel art minecraft texture, carved wooden box with golden inlay, spinning dancer under open lid, soft pink glow #FFB6C1 emanating, floating musical notes, item icon view, transparent background"
"photon_saber","Original Sci-Fi","Photon saber sprite, pixel art minecraft texture, thin cyan energy blade with starry sparkles, sleek silver hilt with glowing core, item icon view, transparent background, high-energy melee weapon"
"eldritch_tome","Lovecraftian","Eldritch tome sprite, pixel art minecraft texture, warped cover with shifting glyphs in sickly green #7FFF00, shadow tendrils, corrupted pages flipping, item icon view, transparent background, forbidden knowledge grimoire"
"black_hole_generator","Sci-Fi","Portable black hole generator sprite, pixel art minecraft texture, compact device with swirling dark center framed by metallic rings, tiny gravity distortion sparkles, item icon view, transparent background, dangerous spatial anomaly gadget"
"phoenix_feather_quill","Mythical","Phoenix feather quill sprite, pixel art minecraft texture, flaming red-orange feather #FF4500 with golden nib, ember dust trailing, item icon view, transparent background, rebirth writing tool"
"echo_locator","Sci-Fi","Echo locator sprite, pixel art minecraft texture, handheld sonar device with concentric wave rings emanating, pulsing blue blips, metallic shell, item icon view, transparent background, spatial awareness tool"
"shadow_dagger","Dark Fantasy","Shadow dagger sprite, pixel art minecraft texture, black blade with violet edge glow, smoky trail, hilt wrapped in dark cloth, item icon view, transparent background, assassin stealth weapon"
"crystal_compass","Adventure","Crystal compass sprite, pixel art minecraft texture, translucent gem face with spinning needle, gold filigree frame, faint directional glow, item icon view, transparent background, mystical navigation device"
"time_dilation_device","Sci-Fi","Time dilation device sprite, pixel art minecraft texture, compact metallic box with glowing hourglass symbol, swirling time particles, item icon view, transparent background, temporal manipulation gadget"
"arcane_focus_orb","Fantasy","Arcane focus orb sprite, pixel art minecraft texture, glowing crystal ball with swirling magical energy, runes floating around, ethereal light, item icon view, transparent background, spellcasting enhancement tool"
"spectral_lantern","Ghostly","Spectral lantern sprite, pixel art minecraft texture, ghostly blue flame #ADD8E6 inside cracked glass, silver handle, faint wisp trails, item icon view, transparent background, ethereal light source"
