"Item","Origin","SpritePrompt"
"pipe_wrench","Real World","Pipe wrench sprite, single item texture, heavy cast iron body, serrated jaws, adjustable nut, sharp clean edges, item icon view, transparent background"
"hacksaw","Real World","Hacksaw sprite, single item texture, blue frame, replaceable blade, ergonomic grip, sharp clean edges, item icon view, transparent background"
"quarterstaff","Martial Arts","Quarterstaff sprite, single item texture, long oak pole, iron-shod ends, smooth grain, sharp clean edges, item icon view, transparent background"
"torch","Medieval","Torch sprite, single item texture, wooden handle, wrapped oil-soaked rag aflame, ember glow, sharp clean edges, item icon view, transparent background"
"mjolnir","Marvel","Mjolnir hammer sprite, single item texture, square gray uru stone head with Nordic runes etched, brown leather-wrapped handle with loop, crackling lightning aura, sharp clean edges, item icon view, transparent background, slate gray #8A8A8A, leather brown #8B4513, mythic Asgardian weapon aesthetic"
"stormbreaker","Marvel","Stormbreaker axe-hammer sprite, single item texture, asymmetrical uru head with sharp axe edge, gnarled Groot-wood handle, bluish lightning arcs, sharp clean edges, item icon view, transparent background, silver gray #C0C0C0, bark brown #8B4513, cosmic Asgardian weapon aesthetic"
"gungnir","Norse Mythology","Gungnir spear sprite, single item texture, gleaming gold #DAA520 spearhead, rune-etched shaft, radiant aura, sharp clean edges, item icon view, transparent background, mythic Odin weapon aesthetic"
"master_sword","The Legend of Zelda","Master Sword sprite, single item texture, cobalt blue blade with light aqua glow, golden Triforce emblem on fuller, violet hilt with green #006400 grip, sharp clean edges, item icon view, transparent background, cobalt blue #1E90FF, golden #FFD700, legendary Hyrule sword aesthetic"
"buster_sword","Final Fantasy VII","Buster Sword sprite, single item texture, oversized steel blade with single fuller, two Materia slots glowing green, black wrapped handle, sharp clean edges, item icon view, transparent background, metallic silver #C0C0C0, emerald glow #00FF7F, heroic SOLDIER weapon aesthetic"
"keyblade","Kingdom Hearts","Keyblade sprite, single item texture, ornate gold key-shaped blade with sky blue accents, silver chain ending in Mickey charm, sharp clean edges, item icon view, transparent background, bright gold #FFD700, sky blue #1E90FF, whimsical Kingdom Hearts aesthetic"
"portal_gun","Portal","Aperture Science Handheld Portal Device sprite, single item texture, glossy white shell, glowing blue and orange indicator lights, black prongs extended, sharp clean edges, item icon view, transparent background, pure white #FFFFFF, aperture blue #1E90FF, sleek sci-fi aesthetic"
"gravity_gun","Half-Life 2","Zero-Point Energy Field Manipulator sprite, single item texture, metallic frame with orange glow coils, claw arms open, sharp clean edges, item icon view, transparent background, hazard orange #FF8C00, gunmetal #555555, Half-Life 2 sci-fi aesthetic"
"sonic_screwdriver","Doctor Who","Sonic Screwdriver sprite, single item texture, silver brass handle with ribbed grip, teal emitter crystal glowing, telescopic segments, sharp clean edges, item icon view, transparent background, teal glow #00FFFF, aged brass #DAA520, Doctor Who gadget aesthetic"
"proton_neutrino_wand","Ghostbusters","Neutrino wand sprite, single item texture, black industrial barrel, glowing cyan #00FFFF plasma tip, hazard yellow warning stripes #FFD700, sharp clean edges, item icon view, transparent background, Ghostbusters proton weapon aesthetic"
"energy_sword","Halo","Energy Sword sprite, single item texture, dual pronged plasma blades forming curved turquoise arcs, small Covenant hilt, emissive glow, sharp clean edges, item icon view, transparent background, bright turquoise #00FFFF, violet hilt #8A2BE2, Halo elite weapon aesthetic"
"plasma_cutter","Dead Space","Plasma Cutter sprite, single item texture, industrial metal frame with three vertical cyan plasma beams, weathered paint, warning labels, sharp clean edges, item icon view, transparent background, plasma cyan #00FFFF, hazard yellow #FFD700, Dead Space engineering tool aesthetic"
"lancer_rifle","Gears of War","Lancer Assault Rifle sprite, single item texture, rugged black rifle with integrated chainsaw bayonet, red COG emblem, sharp clean edges, item icon view, transparent background, gunmetal #555555, crimson #B22222, Gears of War weapon aesthetic"
"omni_blade","Mass Effect","Omni-Blade sprite, single item texture, translucent orange #FFA500 hard-light dagger, wrist-mounted emitter, sharp clean edges, item icon view, transparent background, futuristic tech aesthetic"
"dragon_slayer","Berserk","Dragon Slayer sword sprite, single item texture, massive gray slab blade, chipped edges, rough leather grip, sharp clean edges, item icon view, transparent background, iron gray #696969, dark fantasy aesthetic"
"thunderspear","Attack on Titan","Thunderspear sprite, single item texture, sleek silver #C0C0C0 rocket lance, yellow explosive tip #FFFF00, cable harness, sharp clean edges, item icon view, transparent background, anti-Titan weapon aesthetic"
"kunai","Naruto","Kunai sprite, single item texture, black iron dagger, ring pommel with red cloth wrap, sharp clean edges, item icon view, transparent background"
"leviathan_axe","God of War","Leviathan Axe sprite, single item texture, frosted steel head with Norse carvings, blue-gray #4682B4 blade glow, runic oak handle, sharp clean edges, item icon view, transparent background, mythic frost weapon aesthetic"
"blades_of_chaos","God of War","Blades of Chaos sprite, single item texture, twin curved blades chained, fiery red #B22222 runes, dark iron core, sharp clean edges, item icon view, transparent background, Spartan weapon aesthetic"
"frostmourne","World of Warcraft","Frostmourne sprite, single item texture, icy blue #ADD8E6 runeblade, skull crossguard, cold mist aura, sharp clean edges, item icon view, transparent background, Lich King weapon aesthetic"
"doom_chainsaw","DOOM","DOOM chainsaw sprite, single item texture, blood-spattered red #FF0000 housing, serrated chain, sharp clean edges, item icon view, transparent background, demon-slayer tool aesthetic"
"super_shotgun","DOOM","Super shotgun sprite, single item texture, break-action double barrels, worn walnut stock #8B4513, sharp clean edges, item icon view, transparent background, demon hunter weapon aesthetic"
"spartan_laser","Halo","Spartan Laser sprite, single item texture, heavy crimson #DC143C casing, teal energy lens, military decals, sharp clean edges, item icon view, transparent background, UNSC laser cannon aesthetic"
"needler","Halo","Needler sprite, single item texture, purple crystalline carapace with glowing pink needle projectiles, ergonomic alien grip, sharp clean edges, item icon view, transparent background, magenta pink #FF69B4, deep violet #8A2BE2, Covenant super-combine weapon aesthetic"
"beam_rifle","Halo","Beam Rifle sprite, single item texture, sleek dark violet #9400D3 frame, cyan focus lens, sharp clean edges, item icon view, transparent background, Covenant sniper aesthetic"
"lawgiver_pistol","Judge Dredd","Lawgiver pistol sprite, single item texture, matte black frame, red #FF0000 digital ammo counter, eagle sigil, sharp clean edges, item icon view, transparent background, Mega-City One justice weapon aesthetic"
"combi_spear","Predator","Combistick spear sprite, single item texture, telescoping silver shaft, alien glyphs, spear tips extended, sharp clean edges, item icon view, transparent background, Yautja weapon aesthetic"
"poseidons_trident","Greek Mythology","Poseidon's Trident sprite, single item texture, three-prong gold #FFD700 head, sea blue shaft #1E90FF, swirling water aura, sharp clean edges, item icon view, transparent background, ocean deity weapon aesthetic"
"chainsword","Warhammer 40,000","Chainsword sprite, single item texture, brutal red housing with rotating silver chain teeth, servo motor bulge, imperial skull emblem, sharp clean edges, item icon view, transparent background, blood red #8B0000, steel #C0C0C0, Warhammer 40k melee weapon aesthetic"
"bolter","Warhammer 40,000","Astartes Bolter sprite, single item texture, bulky ceramite casing in dark blue #00008B, golden Aquila on receiver #FFD700, red purity seal wax, sharp clean edges, item icon view, transparent background, grimdark Warhammer 40k weapon aesthetic"
"plasma_pistol","Warhammer 40,000","Plasma Pistol sprite, single item texture, dark green #00FF00 plasma vents, gothic iron frame, sharp clean edges, item icon view, transparent background, grimdark sidearm aesthetic"
"elder_wand","Harry Potter","Elder Wand sprite, single item texture, ancient dark wood shaft #8B4513 with curved nodes, swirling arcane glow, sharp clean edges, item icon view, transparent background, Deathly Hallows artifact aesthetic"
"longbow","Medieval England","Longbow sprite, single item texture, yew wood arc, linen bowstring, leather grip, sharp clean edges, item icon view, transparent background"
"hammer_of_dawn","Gears of War","Hammer of Dawn sprite, single item texture, bulky satellite-link cannon, glowing orange #FF4500 targeting lens, black grip #8B4513, sharp clean edges, item icon view, transparent background, orbital laser designator aesthetic"
"mattock","Real World","Mattock sprite, single item texture, dual-head pick and adze, fiberglass handle, sharp clean edges, item icon view, transparent background"
"hot_glue_gun","Crafts","Hot glue gun sprite, single item texture, teal plastic body, metal nozzle, trigger feed, sharp clean edges, item icon view, transparent background"
"staple_gun","Office Tool","Staple gun sprite, single item texture, chrome body, black handle, spring lever, sharp clean edges, item icon view, transparent background"
"paint_roller","Painting","Paint roller sprite, single item texture, foam cylinder, yellow handle, metal arm, sharp clean edges, item icon view, transparent background"
"vr_controller","Gaming","VR controller sprite, single item texture, matte black shell, thumbstick, trigger, tracking rings, sharp clean edges, item icon view, transparent background"
"arcade_joystick","Arcade","Arcade joystick sprite, single item texture, red ball top, black base with buttons, sharp clean edges, item icon view, transparent background"
"selfie_stick","Modern Gadget","Selfie stick sprite, single item texture, telescopic aluminum rod, smartphone clamp, rubber grip, sharp clean edges, item icon view, transparent background"
"electric_guitar_sword","Scott Pilgrim","Electric guitar sword sprite, single item texture, violet #8A2BE2 body with pink #FF1493 edge, steel blade neck, tuning pegs, sharp clean edges, item icon view, transparent background, comic rock weapon aesthetic"
"chainsaw_sword","Warhammer 40,000","Chainsaw sword sprite, single item texture, crimson #FF0000 body, buzzing steel chainblade, servo vents, sharp clean edges, item icon view, transparent background, space marine melee aesthetic"
"goblin_boomstick","Fantasy","Goblin boomstick sprite, single item texture, rough wood stock #8B4513, olive drab barrel #6B8E23, bound dynamite fuse, sharp clean edges, item icon view, transparent background, ramshackle fantasy firearm aesthetic"
"steampunk_revolver","Steampunk","Steampunk revolver sprite, single item texture, brass #DAA520 frame, walnut grip #8B4513, exposed cogs, steam vent, sharp clean edges, item icon view, transparent background, Victorian sci-fi aesthetic"
"energy_hammer","Sci-Fi","Energy hammer sprite, single item texture, futuristic black haft, translucent cyan #00FFFF power head, gold #FFD700 circuits, sharp clean edges, item icon view, transparent background, arc reactor hammer aesthetic"
"crystal_dagger","Fantasy","Crystal dagger sprite, single item texture, aqua crystal blade #00CED1, silver guard #FFFFFF, ornate grip, sharp clean edges, item icon view, transparent background, mystical rogue weapon aesthetic"
